
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt2957311b.3"    ,    0.00000,  8.20213E+0003,  7.96743E+0003
"bmt8831349b.1"    ,    0.00000,  8.22187E+0003,  7.96743E+0003
"bmt8831349b.2"    ,    0.00000,  8.17557E+0003,  7.96743E+0003
"bmt8831349b.3"    ,    0.00000,  8.20103E+0003,  7.96743E+0003
"bmt170755030.1"   ,    0.00000,  8.22137E+0003,  7.96743E+0003
"bmt170755030.2"   ,    0.00000,  8.17501E+0003,  7.96743E+0003
"bmt170755030.3"   ,    0.00000,  8.20046E+0003,  7.96743E+0003
"bmt8831352b.1"    ,    0.00000,  8.22010E+0003,  7.96743E+0003
"bmt8831352b.2"    ,    0.00000,  8.17358E+0003,  7.96743E+0003
"bmt8831352b.3"    ,    0.00000,  8.19901E+0003,  7.96743E+0003
"bmt8831353b.1"    ,    0.00000,  8.21925E+0003,  7.96743E+0003
"bmt8831353b.2"    ,    0.00000,  8.17262E+0003,  7.96743E+0003
"bmt8831353b.3"    ,    0.00000,  8.19804E+0003,  7.96743E+0003
"bmt8831354b.1"    ,    0.00000,  8.21836E+0003,  7.96743E+0003
"bmt8831354b.2"    ,    0.00000,  8.17161E+0003,  7.96743E+0003
"bmt8831354b.3"    ,    0.00000,  8.19701E+0003,  7.96743E+0003
"bmt170755031.1"   ,    0.00000,  8.21757E+0003,  7.96743E+0003
"bmt170755031.2"   ,    0.00000,  8.17072E+0003,  7.96743E+0003
"bmt170755031.3"   ,    0.00000,  8.19611E+0003,  7.96743E+0003
"bmt170755033.1"   ,    0.00000,  8.21756E+0003,  7.96743E+0003
"bmt170755033.2"   ,    0.00000,  8.17072E+0003,  7.96743E+0003
"bmt170755033.3"   ,    0.00000,  8.19610E+0003,  7.96743E+0003
"bmt8831366b.1"    ,    0.00000,  8.21674E+0003,  7.96743E+0003
"bmt8831366b.2"    ,    0.00000,  8.16978E+0003,  7.96743E+0003
"bmt8831366b.3"    ,    0.00000,  8.19515E+0003,  7.96743E+0003
"bmt8831367b.1"    ,    0.00000,  8.21563E+0003,  7.96743E+0003
"bmt8831367b.2"    ,    0.00000,  8.16852E+0003,  7.96743E+0003
"bmt8831367b.3"    ,    0.00000,  8.19387E+0003,  7.96743E+0003
"bmt8831368b.1"    ,    0.00000,  8.21538E+0003,  7.96743E+0003
"bmt8831368b.2"    ,    0.00000,  8.16824E+0003,  7.96743E+0003
"bmt8831368b.3"    ,    0.00000,  8.19358E+0003,  7.96743E+0003
"bmt8831374b.1"    ,    0.00000,  8.21454E+0003,  7.96743E+0003
"bmt8831374b.2"    ,    0.00000,  8.16729E+0003,  7.96743E+0003
"bmt8831374b.3"    ,    0.00000,  8.19262E+0003,  7.96743E+0003
"bmt8831376b.1"    ,    0.00000,  8.21333E+0003,  7.96743E+0003
"bmt8831376b.2"    ,    0.00000,  8.16591E+0003,  7.96743E+0003
"bmt8831376b.3"    ,    0.00000,  8.19121E+0003,  7.96743E+0003
"bmt152431655.1"   ,    0.00000,  8.21233E+0003,  7.96743E+0003
"bmt152431655.2"   ,    0.00000,  8.16478E+0003,  7.96743E+0003
"bmt152431655.3"   ,    0.00000,  8.19007E+0003,  7.96743E+0003
"bmt171435853.3"   ,    0.00000,  8.03188E+0003,  7.96743E+0003
"bmt171435856.3"   ,    0.00000,  8.03188E+0003,  7.96743E+0003
"bmt159943449.3"   ,    0.00000,  8.02797E+0003,  7.96743E+0003
"bmt159943450.3"   ,    0.00000,  8.02797E+0003,  7.96743E+0003
"bmt2653896b.1"    ,    0.00000,  8.17120E+0003,  7.96743E+0003
"bmt2653896b.2"    ,    0.00000,  8.11886E+0003,  7.96743E+0003
"bmt2653896b.3"    ,    0.00000,  8.13998E+0003,  7.96743E+0003
"bmt155623621.1"   ,    0.00000,  8.17166E+0003,  7.96743E+0003
"bmt155623621.2"   ,    0.00000,  8.11937E+0003,  7.96743E+0003
"bmt155623621.3"   ,    0.00000,  8.14057E+0003,  7.96743E+0003
"bmt2653889b.1"    ,    0.00000,  8.17212E+0003,  7.96743E+0003
"bmt2653889b.2"    ,    0.00000,  8.11989E+0003,  7.96743E+0003
