
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt161048166.3"   ,    0.00000,  8.22741E+0003,  7.96743E+0003
"bmt6215309b.1"    ,    0.00000,  7.97753E+0003,  7.96743E+0003
"bmt6215309b.2"    ,    0.00000,  7.97632E+0003,  7.96743E+0003
"bmt6215309b.3"    ,    0.00000,  7.97792E+0003,  7.96743E+0003
"bmt6215393b.1"    ,    0.00000,  7.96568E+0003,  7.96743E+0003
"bmt6215393b.2"    ,    0.00000,  7.96447E+0003,  7.96743E+0003
"bmt6215393b.3"    ,    0.00000,  7.96607E+0003,  7.96743E+0003
"bmt99457031.1"    ,    0.00000,  7.95895E+0003,  7.96743E+0003
"bmt99457031.2"    ,    0.00000,  7.95773E+0003,  7.96743E+0003
"bmt99457031.3"    ,    0.00000,  7.95934E+0003,  7.96743E+0003
"bmt103801091.1"   ,    0.00000,  8.24258E+0003,  7.96743E+0003
"bmt103801091.2"   ,    0.00000,  8.23319E+0003,  7.96743E+0003
"bmt103801091.3"   ,    0.00000,  8.22546E+0003,  7.96743E+0003
"bmt16997682.1"    ,    0.00000,  8.24253E+0003,  7.96743E+0003
"bmt16997682.2"    ,    0.00000,  8.23314E+0003,  7.96743E+0003
"bmt16997682.3"    ,    0.00000,  8.22541E+0003,  7.96743E+0003
"bmt99457038.1"    ,    0.00000,  7.95879E+0003,  7.96743E+0003
"bmt99457038.2"    ,    0.00000,  7.95758E+0003,  7.96743E+0003
"bmt99457038.3"    ,    0.00000,  7.95919E+0003,  7.96743E+0003
"bmt99457045.1"    ,    0.00000,  7.95835E+0003,  7.96743E+0003
"bmt99457045.2"    ,    0.00000,  7.95713E+0003,  7.96743E+0003
"bmt99457045.3"    ,    0.00000,  7.95874E+0003,  7.96743E+0003
"bmt160755409.1"   ,    0.00000,  8.24422E+0003,  7.96743E+0003
"bmt160755409.2"   ,    0.00000,  8.24296E+0003,  7.96743E+0003
"bmt160755409.3"   ,    0.00000,  8.24463E+0003,  7.96743E+0003
"bmt160755410.1"   ,    0.00000,  8.24369E+0003,  7.96743E+0003
"bmt160755410.2"   ,    0.00000,  8.24242E+0003,  7.96743E+0003
"bmt160755410.3"   ,    0.00000,  8.24409E+0003,  7.96743E+0003
"bmt6225704b.1"    ,    0.00000,  8.21647E+0003,  7.96743E+0003
"bmt6225704b.2"    ,    0.00000,  8.21520E+0003,  7.96743E+0003
"bmt6225704b.3"    ,    0.00000,  8.21689E+0003,  7.96743E+0003
"bmt160755413.1"   ,    0.00000,  8.21471E+0003,  7.96743E+0003
"bmt160755413.2"   ,    0.00000,  8.21344E+0003,  7.96743E+0003
"bmt160755413.3"   ,    0.00000,  8.21513E+0003,  7.96743E+0003
"bmt160755414.1"   ,    0.00000,  8.21450E+0003,  7.96743E+0003
"bmt160755414.2"   ,    0.00000,  8.21323E+0003,  7.96743E+0003
"bmt160755414.3"   ,    0.00000,  8.21492E+0003,  7.96743E+0003
"bmt99457108.1"    ,    0.00000,  8.21436E+0003,  7.96743E+0003
"bmt99457108.2"    ,    0.00000,  8.21309E+0003,  7.96743E+0003
"bmt99457108.3"    ,    0.00000,  8.21478E+0003,  7.96743E+0003
"bmt150340616.1"   ,    0.00000,  8.21350E+0003,  7.96743E+0003
"bmt150340616.2"   ,    0.00000,  8.21223E+0003,  7.96743E+0003
"bmt150340616.3"   ,    0.00000,  8.21392E+0003,  7.96743E+0003
"bmt6227104b.1"    ,    0.00000,  8.17042E+0003,  7.96743E+0003
"bmt6227104b.2"    ,    0.00000,  8.16928E+0003,  7.96743E+0003
"bmt6227104b.3"    ,    0.00000,  8.17076E+0003,  7.96743E+0003
"bmt6227118b.1"    ,    0.00000,  8.16889E+0003,  7.96743E+0003
"bmt6227118b.2"    ,    0.00000,  8.16774E+0003,  7.96743E+0003
"bmt6227118b.3"    ,    0.00000,  8.16923E+0003,  7.96743E+0003
"bmt6227132b.1"    ,    0.00000,  8.16718E+0003,  7.96743E+0003
"bmt6227132b.2"    ,    0.00000,  8.16603E+0003,  7.96743E+0003
"bmt6227132b.3"    ,    0.00000,  8.16752E+0003,  7.96743E+0003
"bmt6227139b.1"    ,    0.00000,  8.16597E+0003,  7.96743E+0003
"bmt6227139b.2"    ,    0.00000,  8.16482E+0003,  7.96743E+0003
"bmt6227139b.3"    ,    0.00000,  8.16631E+0003,  7.96743E+0003
"bmt171760801.1"   ,    0.00000,  8.16460E+0003,  7.96743E+0003
"bmt171760801.2"   ,    0.00000,  8.16345E+0003,  7.96743E+0003
"bmt171760801.3"   ,    0.00000,  8.16494E+0003,  7.96743E+0003
"bmt748931b.1"     ,    0.00000,  8.16324E+0003,  7.96743E+0003
"bmt748931b.2"     ,    0.00000,  8.16210E+0003,  7.96743E+0003
"bmt748931b.3"     ,    0.00000,  8.16359E+0003,  7.96743E+0003
"bmt17428749.1"    ,    0.00000,  8.16460E+0003,  7.96743E+0003
"bmt17428749.2"    ,    0.00000,  8.16345E+0003,  7.96743E+0003
"bmt17428749.3"    ,    0.00000,  8.16494E+0003,  7.96743E+0003
"bmt6227447b.1"    ,    0.00000,  8.14750E+0003,  7.96743E+0003
"bmt6227447b.2"    ,    0.00000,  8.14635E+0003,  7.96743E+0003
"bmt6227447b.3"    ,    0.00000,  8.14785E+0003,  7.96743E+0003
"bmt745494b.1"     ,    0.00000,  8.14684E+0003,  7.96743E+0003
"bmt745494b.2"     ,    0.00000,  8.14569E+0003,  7.96743E+0003
"bmt745494b.3"     ,    0.00000,  8.14719E+0003,  7.96743E+0003
"bmt6227447c.1"    ,    0.00000,  8.25648E+0003,  7.96743E+0003
"bmt6227447c.2"    ,    0.00000,  8.24893E+0003,  7.96743E+0003
"bmt6227447c.3"    ,    0.00000,  8.24289E+0003,  7.96743E+0003
"bmt745494c.1"     ,    0.00000,  8.25652E+0003,  7.96743E+0003
"bmt745494c.2"     ,    0.00000,  8.24896E+0003,  7.96743E+0003
"bmt745494c.3"     ,    0.00000,  8.24292E+0003,  7.96743E+0003
"bmt6231941b.2"    ,    0.00000,  8.19350E+0003,  7.96743E+0003
"bmt6231948b.2"    ,    0.00000,  8.19349E+0003,  7.96743E+0003
"bmt6231955b.2"    ,    0.00000,  8.19349E+0003,  7.96743E+0003
"bmt6231962b.2"    ,    0.00000,  8.19347E+0003,  7.96743E+0003
"bmt6231969b.2"    ,    0.00000,  8.19346E+0003,  7.96743E+0003
"bmt6231976b.2"    ,    0.00000,  8.19346E+0003,  7.96743E+0003
"bmt6231983b.2"    ,    0.00000,  8.19345E+0003,  7.96743E+0003
"bmt6231990b.2"    ,    0.00000,  8.19344E+0003,  7.96743E+0003
"bmt6231997b.2"    ,    0.00000,  8.19343E+0003,  7.96743E+0003
"bmt6232004b.2"    ,    0.00000,  8.19342E+0003,  7.96743E+0003
"bmt168836074.2"   ,    0.00000,  8.19341E+0003,  7.96743E+0003
"bmt6232018b.2"    ,    0.00000,  8.19340E+0003,  7.96743E+0003
"bmt6232025b.2"    ,    0.00000,  8.19339E+0003,  7.96743E+0003
"bmt168836077.2"   ,    0.00000,  8.19338E+0003,  7.96743E+0003
"bmt6232039b.2"    ,    0.00000,  8.19337E+0003,  7.96743E+0003
"bmt6232060b.2"    ,    0.00000,  8.19338E+0003,  7.96743E+0003
"bmt6232046b.2"    ,    0.00000,  8.19337E+0003,  7.96743E+0003
"bmt6232053b.2"    ,    0.00000,  8.19336E+0003,  7.96743E+0003
"bmt172861139.2"   ,    0.00000,  8.19494E+0003,  7.96743E+0003
"bmt6462773b.2"    ,    0.00000,  8.19493E+0003,  7.96743E+0003
"bmt172861140.2"   ,    0.00000,  8.19493E+0003,  7.96743E+0003
"bmt172861125.2"   ,    0.00000,  8.19522E+0003,  7.96743E+0003
"bmt6480119b.2"    ,    0.00000,  8.19521E+0003,  7.96743E+0003
"bmt172861126.2"   ,    0.00000,  8.19519E+0003,  7.96743E+0003
"bmt150353652.3"   ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt3450406b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481827b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481834b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481841b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481848b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481855b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481862b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481869b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481890b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481897b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt6481904b.3"    ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt150353654.3"   ,    0.00000,  7.99794E+0003,  7.96743E+0003
"bmt164637672.1"   ,    0.00000,  8.22280E+0003,  7.96743E+0003
"bmt164637673.1"   ,    0.00000,  8.22278E+0003,  7.96743E+0003
"bmt164637674.1"   ,    0.00000,  8.22280E+0003,  7.96743E+0003
"bmt6488057b.3"    ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt170108256.3"   ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt6488071b.3"    ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt6488085b.3"    ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt6488141b.3"    ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt6488190b.3"    ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt6488169b.3"    ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt170108257.3"   ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt6488176b.3"    ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt6488183b.3"    ,    0.00000,  8.13844E+0003,  7.96743E+0003
"bmt6489394b.2"    ,    0.00000,  8.19699E+0003,  7.96743E+0003
"bmt6489401b.2"    ,    0.00000,  8.19699E+0003,  7.96743E+0003
"bmt6489408b.2"    ,    0.00000,  8.19699E+0003,  7.96743E+0003
"bmt6489415b.2"    ,    0.00000,  8.19699E+0003,  7.96743E+0003
"bmt6489429b.2"    ,    0.00000,  8.19699E+0003,  7.96743E+0003
"bmt6489436b.2"    ,    0.00000,  8.19699E+0003,  7.96743E+0003
"bmt6489464b.2"    ,    0.00000,  8.19699E+0003,  7.96743E+0003
"bmt6489471b.2"    ,    0.00000,  8.19699E+0003,  7.96743E+0003
"bmt169561453.2"   ,    0.00000,  8.19699E+0003,  7.96743E+0003
"bmt6491228b.1"    ,    0.00000,  8.25478E+0003,  7.96743E+0003
"bmt171288369.1"   ,    0.00000,  8.25478E+0003,  7.96743E+0003
"bmt171973338.2"   ,    0.00000,  8.00529E+0003,  7.96743E+0003
"bmt171973339.2"   ,    0.00000,  8.00529E+0003,  7.96743E+0003
"bmt3761864b.2"    ,    0.00000,  8.00529E+0003,  7.96743E+0003
"bmt171973340.2"   ,    0.00000,  8.00529E+0003,  7.96743E+0003
"bmt6699597b.2"    ,    0.00000,  8.00529E+0003,  7.96743E+0003
"bmt6699583b.2"    ,    0.00000,  8.00528E+0003,  7.96743E+0003
"bmt6699562b.2"    ,    0.00000,  8.00528E+0003,  7.96743E+0003
"bmt6699394b.2"    ,    0.00000,  8.00528E+0003,  7.96743E+0003
"bmt171973341.2"   ,    0.00000,  8.00528E+0003,  7.96743E+0003
"bmt165138615.3"   ,    0.00000,  8.20740E+0003,  7.96743E+0003
"bmt6726092b.3"    ,    0.00000,  8.20740E+0003,  7.96743E+0003
"bmt165138616.3"   ,    0.00000,  8.20740E+0003,  7.96743E+0003
"bmt6232172b.2"    ,    0.00000,  8.19335E+0003,  7.96743E+0003
"bmt6232067b.2"    ,    0.00000,  8.19338E+0003,  7.96743E+0003
"bmt6232116b.2"    ,    0.00000,  8.19338E+0003,  7.96743E+0003
"bmt166967087.2"   ,    0.00000,  8.19338E+0003,  7.96743E+0003
