
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus            Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

bmt125123485      8.126       1.02          0          0         0         0
bmt2594548b       8.126       1.02          0          0         0         0
bmt125123492      8.125       1.02          0          0         0         0
bmt2170789b       8.125       1.02          0          0         0         0
bmt2594618b       8.125       1.02          0          0         0         0
bmt2594744b       8.125       1.02          0          0         0         0
bmt1600303b       8.124       1.02          0          0         0         0
bmt125123520      8.123       1.02          0          0         0         0
bmt1600310b       8.125       1.02          0          0         0         0
bmt2594723b       8.125       1.02          0          0         0         0
bmt165523431      8.073      1.013    0.06507      0.806   0.04806    0.5953
bmt165523432      8.073      1.013    0.06509     0.8063   0.04806    0.5953
bmt2588353b       8.071      1.013    0.06568     0.8138   0.04825    0.5979
bmt125117703      8.073      1.013    0.06509     0.8063   0.04806    0.5953
bmt1600331b       8.063      1.012    0.06755     0.8377   0.04884    0.6057
bmt2588346b        8.06      1.012    0.06844     0.8491   0.04912    0.6095
bmt125117682      8.059      1.011    0.06874      0.853   0.04922    0.6107
bmt2588339b       8.055      1.011    0.06973     0.8657   0.04954     0.615
bmt157862827      8.102      1.017          0          0         0         0
bmt2936722b       8.102      1.017          0          0         0         0
bmt125117689      8.053      1.011    0.07039     0.8741   0.04975    0.6178
bmt125117696      8.052      1.011    0.07068     0.8778   0.04985    0.6191
bmt125123345      8.003      1.004          0          0         0         0
bmt2588311b       8.002      1.004          0          0         0         0
bmt137662739      8.052      1.011    0.07068     0.8778   0.04985    0.6191
bmt2588304b       8.051       1.01    0.07104     0.8824   0.04997    0.6208
bmt125123352      8.002      1.004          0          0         0         0
bmt125123359      8.002      1.004          0          0         0         0
bmt2588318b       8.002      1.004          0          0         0         0
bmt137662746      8.047       1.01    0.07205     0.8954   0.05031    0.6252
bmt2588290b       8.046       1.01    0.07236     0.8994   0.05041    0.6266
bmt163622834      7.994      1.003          0          0         0         0
bmt163622835      7.994      1.003          0          0         0         0
bmt125117752       8.03      1.008    0.07656     0.9535    0.0518    0.6451
bmt125117766      8.026      1.007    0.07764     0.9674   0.05217      0.65
bmt160982865      7.971          1          0          0         0         0
bmt2898033b       7.971          1          0          0         0         0
bmt1600380b       8.018      1.006    0.07993      0.997   0.05283    0.6589
bmt2588192b       8.017      1.006    0.08013     0.9995   0.05288    0.6596
bmt125122771      8.071      1.013          0          0         0         0
bmt1600401b       8.071      1.013          0          0         0         0
bmt125117773      8.011      1.005    0.08197      1.023   0.05341    0.6667
bmt2588178b        8.01      1.005    0.08228      1.027    0.0535     0.668
bmt125117850      8.328      1.045    0.07498     0.9004    0.0537    0.6448
bmt125117857      8.321      1.044    0.07612     0.9148   0.05381    0.6466
bmt125122659       8.32      1.044          0          0         0         0
bmt2578805b       8.319      1.044          0          0         0         0
bmt125122778      8.071      1.013          0          0         0         0
bmt125117864      8.318      1.044     0.0769     0.9245   0.05383    0.6472
bmt125122547      8.347      1.048          0          0         0         0
bmt2578343b       8.346      1.048          0          0         0         0
bmt1600415b       8.319      1.044          0          0         0         0
bmt2578826b       8.319      1.044          0          0         0         0
bmt1600422b       8.318      1.044          0          0         0         0
bmt1600429b       8.317      1.044          0          0         0         0
bmt125122673      8.317      1.044          0          0         0         0
bmt125117871      8.318      1.044     0.0769     0.9246   0.05383    0.6471
bmt125117878      8.314      1.044    0.07761     0.9334   0.05385    0.6477
bmt125122554      8.346      1.047          0          0         0         0
bmt125122561      8.345      1.047          0          0         0         0
bmt2577524b       8.346      1.047          0          0         0         0
bmt1600450b       8.345      1.047          0          0         0         0
bmt125122575      8.345      1.047          0          0         0         0
bmt125122589      8.345      1.047          0          0         0         0
bmt2577489b       8.345      1.047          0          0         0         0
bmt1600464b       8.345      1.047          0          0         0         0
bmt125122596      8.345      1.047          0          0         0         0
bmt158778394      8.222      1.032     0.1015      1.235   0.05341    0.6496
bmt148389398      8.221      1.032     0.1016      1.236    0.0534    0.6495
bmt1912468b       8.221      1.032     0.1017      1.237   0.05338    0.6493
bmt173136951      8.221      1.032     0.1016      1.236    0.0534    0.6495
bmt163923434      8.184      1.027          0          0         0         0
bmt1599064b       8.227      1.033   0.005066    0.06157   0.02851    0.3466
bmt2373852b       8.225      1.032   0.005302    0.06447   0.02865    0.3483
bmt169432984      8.161      1.024    0.01145     0.1403   0.03205    0.3927
bmt2595913b        8.16      1.024    0.01163     0.1425   0.03212    0.3936
bmt1599148b       8.159      1.024    0.01195     0.1465   0.03224    0.3952
bmt169432985      8.156      1.024    0.01257     0.1541   0.03248    0.3982
bmt169432986      8.188      1.028          0          0         0         0
bmt169432987      8.146      1.022    0.01497     0.1838   0.03338    0.4098
bmt169432988      8.143      1.022          0          0         0         0
bmt2595962b       8.137      1.021    0.01693      0.208    0.0341    0.4191
